country,Ifs country
Russia,Russian Federation
iran,"Iran, Islamic Republic of"
Qatar,Qatar
turkmenistan,Turkmenistan
usA,United States
saudi Arabia,Saudi Arabia
u. Arab emirates,United Arab Emirates
Venezuela,Venezuela
nigeria,Nigeria
China,China
Algeria,Algeria
iraq,Iraq
Australia,Australia
indonesia,Indonesia
malaysia,Malaysia
Canada,Canada
egypt,"Egypt, Arab Republic of"
Kazakhstan,Kazakhstan
Kuwait,Kuwait
norway,Norway
Argentina,Argentina
Brazil,Brazil
mexico,Mexico
south Africa,South Africa
india,India
mozambique,Mozambique
madagascar,Madagascar
Libya,Libya
Angola,Angola
ecuador,Ecuador
Greenland,#N/A
morocco,Morocco
Albania,Albania
Austria,Austria
Belgium,Belgium
Bulgaria,Bulgaria
Croatia,Croatia
Cyprus,Cyprus
Czech Republic,Czech Republic
denmark,Denmark
France,France
Germany,Germany
Greece,Greece
Hungary,Hungary
ireland,Ireland
italy,Italy
Lithuania,Lithuania
malta,Malta
netherlands,Netherlands
poland,Poland
portugal,Portugal
Romania,Romania
serbia,Serbia
slovakia,Slovak Republic
slovenia,Slovenia
spain,Spain
sweden,Sweden
turkey,Turkey
united Kingdom,United Kingdom
Armenia,Armenia
Azerbaijan,Azerbaijan
Belarus,Belarus
Georgia,Georgia
Kyrgyzstan,Kyrgyz Republic
"moldova, Republic",Moldova
tajikistan,Tajikistan
ukraine,Ukraine
uzbekistan,Uzbekistan
Benin,Benin
Botswana,Botswana
Cameroon,Cameroon
Chad,Chad
"Congo, dR","Congo, Democratic Republic of"
"Congo, Rep.","Congo, Republic of"
Côte d'ivoire,Cote d'Ivoire
equatorial Guinea,Equatorial Guinea
eritrea,Eritrea
ethiopia,Ethiopia
Gabon,Gabon
Gambia,"Gambia, The"
Ghana,Ghana
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Kenya,Kenya
Liberia,Liberia
mauritania,Mauritania
namibia,Namibia
niger,Niger
Rwanda,Rwanda
são tomé and príncipe,#N/A
senegal,Senegal
seychelles,Seychelles
Sierra Leone,Sierra Leone
somalia,Somalia
sudan & south sudan,#N/A
tanzania,Tanzania
togo,Togo
tunisia,Tunisia
uganda,Uganda
Western sahara,#N/A
Zimbabwe,Zimbabwe
Westsahara,#N/A
Bahrain,Bahrain
israel,Israel
Jordan,Jordan
Lebanon,Lebanon
Oman,Oman
palestinian territories,Palestine
syrian,Syrian Arab Republic
yemen,"Yemen, Republic of"
Afghanistan,Afghanistan
Bangladesh,Bangladesh
Brunei,Brunei
Cambodia,Cambodia
Japan,Japan
"Korea, Rep.","Korea, Republic of"
Laos,"Laos, People's Democratic Republic"
mongolia,Mongolia
myanmar,Myanmar
new Zealand,New Zealand
pakistan,Pakistan
papua new Guinea,Papua New Guinea
philippines,Philippines
Sri Lanka,Sri Lanka
taiwan,"Taiwan, China"
thailand,Thailand
Timor-Leste,Timor-Leste
Viet nam,Vietnam
Barbados,Barbados
Belize,Belize
Bolivia,Bolivia
Chile,Chile
Colombia,Colombia
Cuba,Cuba
Falkland islands,#N/A
(French) Guiana,#N/A
Grenada,Grenada
Guatemala,Guatemala
Guyana,Guyana
Haiti,Haiti
paraguay,Paraguay
peru,Peru
puerto Rico,Puerto Rico
suriname,Suriname
trinidad and tobago,Trinidad and Tobago
uruguay,Uruguay
Bosnia & Herzegovina,Bosnia and Herzegovina
estonia,Estonia
Finland,Finland
mali,Mali
"south sudan, Republic of",Sudan South
sudan,Sudan
"Korea, dpR","Korea, Democratic People's Republic of"
dominican Rep.,Dominican Republic
panama,Panama
